air_carrier_id_pk,airport_code,name,city
229,AIB,Anita Bay Airport,Anita Bay
230,AID,Anderson Municipal-Darlington Field,Anderson
231,AIK,Aiken Municipal,Aiken
232,AIN,Wainwright Airport,Wainwright
233,AIT,Aitutaki Airport,Aitutaki
234,AIY,Bader Field,Atlantic City
235,AIZ,Lee C Fine Memorial,Lake of the Ozarks
236,AJA,Ajaccio Napoleon Bonaparte,Ajaccio
237,AJF,Al Jouf,Jouf
238,AJJ,Akjoujt Airport,Akjoujt
239,AJL,Lengpui,Aizwal
240,AJN,Ouani,Anjouan
241,AJR,Arvidsjaur Airport,Arvidsjaur
242,AJU,Santa Maria,Aracaju
243,AJY,Mano Dayak,Agades
244,AK1,Kelly Creek Airstrip,Seward Peninsula
245,AK2,Bear Fish Camp Airport,Bear Fish Camp
246,AK3,Gold King Creek,Fairbanks
247,AK4,Squaw Lake Airport,Squaw Lake
248,AK5,Qugruc Airport,Qugruc
249,AK6,Gold King 2 Airport,Gold King 2
250,AK7,Hunter Creek,Rampart
251,AK8,Zips Airport,Zips
252,AK9,Tolstoi Bay Airport,Tolstoi Bay
253,AKB,Atka Airport,Atka
254,AKC,Akron Fulton International,Akron
255,AKF,Kufra,Kufrah
256,AKH,Prince Sultan AB,Al Kharj
257,AKI,Akiak Airport,Akiak
258,AKJ,Asahikawa Airport,Asahikawa
259,AKK,Akhiok Airport,Akhiok
260,AKL,Auckland International,Auckland
261,AKN,King Salmon Airport,King Salmon
262,AKO,Colorado Plains Regional,Akron
263,AKP,Anaktuvuk Pass Airport,Anaktuvuk Pass
264,AKR,Akure Airport,Akure
265,AKS,Auki Airport,Auki
266,AKT,Akrotiri Airport,Akrotiri
267,AKX,Aktyubinsk Airport,Aktyubinsk
268,AKY,Sittwe Airport,Sittwe
269,AL1,Albertville Regional-Thomas J Brumlik Field,Albertville
270,AL2,Shelby County,Alabaster
271,AL3,Huntsville Executive Airport Tom Sharp Jr,Huntsville
272,AL4,South Alabama Regional at Bill Benton Field,Andalusia/Opp
273,AL5,Demopolis Regional,Demopolis
274,AL6,H. L. Sonny Callahan,Fairhope
275,AL7,Walker County Bevill Field,Jasper
276,AL8,Scottsboro Municipal Word Field,Scottsboro
277,AL9,Merkel Field Sylacauga Municipal,Sylacauga
278,ALA,Almaty Airport,Almaty
279,ALB,Albany International,Albany
280,ALC,Alicante Elche,Alicante
281,ALE,Alpine Casparis Municipal,Alpine
282,ALF,Alta Airport,Alta
283,ALG,Houari Boumediene,Algiers
284,ALH,Albany Airport,Albany
285,ALI,Alice International,Alice
286,ALJ,Alexander Bay Airport,Alexander Bay
287,ALK,Asela Airport,Asela
288,ALM,Alamogordo White Sands Regional,Alamogordo
289,ALN,St. Louis Regional,Alton
290,ALO,Waterloo Regional,Waterloo
291,ALP,Aleppo International,Aleppo
292,ALQ,Alegrete Airport,Alegrete
293,ALR,Alexandra Airport,Alexandra
294,ALS,San Luis Valley Regional/Bergman Field,Alamosa
295,ALT,Alenquer Airport,Alenquer
296,ALU,Alula Airport,Alula
297,ALW,Walla Walla Regional,Walla Walla
298,ALX,Thomas C. Russell Field,Alexander City
299,ALY,Alexandria International,Alexandria
300,ALZ,Alitak Seaplane Base,Lazy Bay
301,AMA,Rick Husband Amarillo International,Amarillo
302,AMD,Ahmedabad Airport,Ahmedabad
303,AMF,Ama Airport,Ama
304,AMG,Amboin Airport,Amboin
305,AMH,Arba Minch Airport,Arba Minch
306,AMI,Selaparang,Mataram
307,AMK,Animas Air Park,Durango
308,AML,Puerto Armuelles Airport,Puerto Armuelles
309,AMM,Queen Alia International,Amman
310,AMN,Gratiot Community,Alma
311,AMO,Mao Airport,Mao
312,AMP,Ampanihy Airport,Ampanihy
313,AMQ,Pattimura,Ambon
314,AMS,Schiphol,Amsterdam
315,AMW,Ames Municipal,Ames
316,AMX,Ammaroo Station,Ammaroo
317,AMY,Ambatomainty Airport,Ambatomainty
318,ANA,Anaheim-Disneyland HP,Anaheim
319,ANB,Anniston Regional,Anniston
320,ANC,Ted Stevens Anchorage International,Anchorage
321,AND,Anderson Regional,Anderson
322,ANE,Angers Marce,Angers
323,ANF,Andres Sabella International,Antofagasta
324,ANG,Angouleme Brie Champniers,Angouleme
325,ANI,Aniak Airport,Aniak
326,ANK,Etimesgut,Ankara
327,ANM,Antsirabato,Antalaha
328,ANN,Annette Island,Annette
329,ANO,Angoche Airport,Angoche
330,ANP,Lee,Annapolis
331,ANR,Deurne,Antwerp
332,ANS,Andahuaylas Airport,Andahuaylas
333,ANU,V C Bird International,St. Johns
334,ANV,Anvik Airport,Anvik
335,ANX,Andoya,Andeness
336,AOH,Lima Allen County,Lima
337,AOI,Ancona Falconara,Ancona
338,AOJ,Aomori Airport,Aomori
339,AOK,Karpathos Airport,Karpathos
340,AOL,Paso de Los Libres Airport,Paso de Los Libres
341,AOO,Altoona-Blair County,Altoona
342,AOR,Sultan Abdul Halim,Alor Setar
343,AOS,Amook Bay Airport,Amook Bay
344,APA,Centennial,Denver
345,APB,Apolo Airport,Apolo
346,APC,Napa County,Napa
347,APE,San Juan Aposento Airport,San Juan Aposento
348,APF,Naples Municipal,Naples
349,APG,Phillips AAF,Aberdeen
350,APH,A P Hill AAF,Fort A P Hill
351,API,Gomez Nino Apiay AB,Villavicencio
352,APK,Apataki Airport,Apataki
353,APL,Nampula Airport,Nampula
354,APN,Alpena County Regional,Alpena
355,APO,Apartado Airport,Apartado
356,APR,April River Airport,April River
