air_carrier_id_pk,name,shortcut
19531,Not specified, AC
19532,Not specified, AF
19533,Not specified, AI
19534,Not specified, AM
19535,Not specified, AR
19536,Not specified, AT
19537,Not specified, AV
19538,Not specified, AY
19539,Not specified, AZ
19540,Not specified, BA
19541,Not specified, BD
19542,Not specified, BW
19543,Not specified, CA
19544,Not specified, CI
19545,Not specified, CV
19546,Not specified, FI
19547,Not specified, IB
19548,Not specified, JL
19549,Not specified, JM
19550,Not specified, KE
19551,Not specified, KL
19552,Not specified, LA
19553,Not specified, LB
19554,Not specified, LH
19555,Not specified, LO
19556,Not specified, LR
19557,Not specified, LT
19558,Not specified, LY
19559,Not specified, MX
19560,Not specified, NWQ
19561,Not specified, OA
19562,Not specified, PH
19563,Not specified, PK
19564,Not specified, PR
19565,Not specified, PY
19566,Not specified, QF
19567,Not specified, RG
19568,Not specified, RJ
19569,Not specified, RO
19570,Not specified, SA
19571,Not specified, SK
19572,Not specified, SQ
19573,Not specified, SU
19574,Not specified, TA
19575,Not specified, TG
19576,Not specified, TP
19577,Not specified, UP
19578,Not specified, MC
19579,Not specified, HLQ
19580,Not specified, UC
19581,Not specified, ALT
19582,Not specified, ANC
19583,Not specified, BAA
19584,Not specified, DIR
19585,Not specified, SKT
19586,Not specified, TGO
19587,Not specified, THQ
19588,Not specified, ROA
19589,Not specified, AED
19590,Not specified, ALX
19591,Not specified, AOR
19592,Not specified, AVR
19593,Not specified, DOL
19594,Not specified, DVO
19595,Not specified, KIN
19596,Not specified, NFA
19597,Not specified, SLO
19598,Not specified, STA
19599,Not specified, TRO
19600,Not specified, WIR
19601,Not specified, WSU
19602,Not specified, HX (1)
19603,Not specified, VB (1)
19604,Not specified, QS (1)
19605,Not specified, HAR
19606,Not specified, MIN
19607,Not specified, VIS
19608,Not specified, FT
19609,Not specified, OD (1)
19610,Not specified, OD
19611,Not specified, NRN
19612,Not specified, 6P
19613,Not specified, TJ
19614,Not specified, EOQ
19615,Not specified, RAQ
19616,Not specified, KU
19617,Not specified, BAY
19618,Not specified, DSA
19619,Not specified, LAS
19620,Not specified, QTQ
19621,Not specified, AFQ
19622,Not specified, GX
19623,Not specified, EI
19624,Not specified, SV
19625,Not specified, XAB
19626,Not specified, XBZ
19627,Not specified, CIQ
19628,Not specified, ANI
19629,Not specified, ARA
19630,Not specified, MUA
19631,Not specified, PCL
19632,Not specified, SER
19633,Not specified, TTM
19634,Not specified, CMQ
19635,Not specified, HAQ
19636,Not specified, CB
19637,Not specified, ME
19638,Not specified, AFS
19639,Not specified, GRD
19640,Not specified, KOD
19641,Not specified, MAE
19642,Not specified, NCA
19643,Not specified, SAC
19644,Not specified, WAR
19645,Not specified, EP
19646,Not specified, AXQ
19647,Not specified, JIQ
19648,Not specified, HER
19649,Not specified, LSZ
19650,Not specified, AAT
19651,Not specified, EAT
19652,Not specified, SPH
19653,Not specified, AHQ
19654,Not specified, EXC (1)
19655,Not specified, SNA
19656,Not specified, ARM
19657,Not specified, PAT
19658,Not specified, TKQ
19659,Not specified, AAI
19660,Not specified, GAQ
19661,Not specified, IDQ
19662,Not specified, TR (1)
19663,Not specified, XCA
19664,Not specified, XBC
19665,Not specified, ARS
19666,Not specified, CRE
19667,Not specified, TFZ
19668,Not specified, FH
19669,Not specified, AWQ
19670,Not specified, BF
19671,Not specified, VK
19672,Not specified, RES
19673,Not specified, AAV
19674,Not specified, AME
19675,Not specified, ARP
19676,Not specified, SKS
19677,Not specified, BFQ
19678,Not specified, AQ
19679,Not specified, APS
19680,Not specified, EME
19681,Not specified, FRT
19682,Not specified, VS
19683,Not specified, MKQ
19684,Not specified, INQ
19685,Not specified, TPQ
19686,Not specified, WFT
19687,Not specified, QX
19688,Not specified, 2M
19689,Not specified, SDQ
19690,Not specified, HA
19691,Not specified, XDA
19692,Not specified, RIA
19693,Not specified, NPA
19694,Not specified, FLR
19695,Not specified, TAT
19696,Not specified, RAY
19697,Not specified, WWQ
19698,Not specified, AQQ
19699,Not specified, MB
19700,Not specified, APH
19701,Not specified, JTA
19702,Not specified, KB
19703,Not specified, HSV
19704,Not specified, CO
19705,Not specified, IRQ
19706,Not specified, CLD
19707,Not specified, EA
19708,Not specified, CSM
19709,Not specified, AMR
19710,Not specified, AAP
19711,Not specified, EGA
19712,Not specified, BEA
19713,Not specified, ACN
19714,Not specified, ASR
19715,Not specified, BAT
19716,Not specified, BRK
19717,Not specified, CMR
19718,Not specified, CRH
19719,Not specified, CTL
19720,Not specified, EEX
19721,Not specified, LAA
19722,Not specified, NAT
19723,Not specified, OMI
19724,Not specified, SEP
19725,Not specified, TUR
19726,Not specified, WSK
