delay_id_pk,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,other_type_delay
98773,36.0,0.0,0.0,0.0,17.0,-11.0
98783,0.0,78.0,0.0,0.0,0.0,-21.0
98799,30.0,0.0,6.0,0.0,0.0,6.0
98800,5.0,0.0,2.0,0.0,35.0,2.0
98805,2.0,0.0,0.0,0.0,44.0,-3.0
98847,12.0,0.0,0.0,0.0,24.0,-1.0
98901,13.0,0.0,18.0,0.0,0.0,-11.0
98922,75.0,0.0,7.0,0.0,0.0,7.0
98933,0.0,0.0,35.0,0.0,0.0,-11.0
98938,272.0,0.0,5.0,0.0,0.0,5.0
98953,54.0,0.0,0.0,0.0,0.0,-13.0
98973,1.0,0.0,0.0,0.0,65.0,-19.0
99002,12.0,0.0,0.0,0.0,11.0,-6.0
99010,73.0,0.0,0.0,0.0,0.0,-9.0
99015,45.0,0.0,0.0,0.0,15.0,-11.0
99019,4.0,0.0,0.0,0.0,14.0,-16.0
99033,8.0,0.0,23.0,0.0,0.0,23.0
99036,0.0,0.0,20.0,0.0,9.0,2.0
99041,10.0,0.0,0.0,0.0,7.0,-17.0
99171,31.0,0.0,0.0,0.0,32.0,-12.0
99219,15.0,0.0,0.0,0.0,1.0,-6.0
99235,22.0,0.0,0.0,0.0,12.0,-4.0
99247,0.0,0.0,121.0,0.0,0.0,-6.0
99256,33.0,0.0,0.0,0.0,12.0,-2.0
99283,0.0,0.0,83.0,0.0,0.0,-18.0
